factory_code,factory_name
21025,LAI ÂN 玉璧公司
30003.1,永霖 VIỄN LÂM
30003.2,林源 LÂM NGUYÊN
30005,越弘 ViỆT HoẰNG
30005.1,越弘 ViỆT HoẰNG
30006,寶盛 BAO SHENG
30008.1,江進 VYFACO
30008.4,鴻霖 HỒNG LÂM
30011,上順 SANG SHUN
30011,上順 SANG SHUN
30013,協楊 ASY
30013,協楊 ASY
30018,輝旺 HUY HOÀNG
30020,楊林 YANG LIN
30020,楊林 YANG LIN
30022,順泰 THUẬN THÁI
30022,順泰 THUẬN THÁI
30022.1,(STOP) KNI
30023,太平洋 RETURN GOLD
30023,太平洋 RETURN GOLD
30027,晶鑽  JING TZUAN
30030,木川 MỘC XUYÊN
30031,LODE STAR
30032,宏森 GREATREE INDUSTRIAL
30034,利榮 LY LONG
30041,伊斯達  EISTA
30042,木鄉 MỘC HƯƠNG
30043,STOP 總昌  TSUNG CHANG
30043.1,林智發 LÂM TRÍ PHÁT
30047,越美 ViỆT MỸ
30062,龍玲 LONG LINH
30065,啟宏 KHẢI HỒNG
30065,啟宏 KHẢI HỒNG
30069,青青 THANH THANH
30070,大皇美 ĐẠI HOÀNG MỸ
30070,大皇美 ĐẠI HOÀNG MỸ
30071,順安木業 GỖ THUẬN AN
30071,順安木業 GỖ THUẬN AN
30074,B&H
30078,強盛 CƯỜNG THỊNH
30078,強盛 CƯỜNG THỊNH
30080,盛越 THỊNH ViỆT
30080,盛越 THỊNH ViỆT
30081,WOODSLAND
30083,春日 O'LEER
30085,五金青風 THANH PHONG
30085,五金青風 THANH PHONG
30087,明發 MINH PHÁT II
30087,明發 MINH PHÁT II
30089,映陽 ÁNH DƯƠNG
30089,映陽 ÁNH DƯƠNG
30090.1,新恢源 TÂN KHÔI NGUYÊN
30092,名益 DANH ÍCH
30092,名益 DANH ÍCH
30093,友準 HỮU CHUẨN
30093.1,友準 HỮU CHUẨN
30101,康美 KHANG MY
30101.1,康瑋 KHANG VY
30102,德安 ĐỨC AN
30104,建恆 KIẾN HẰNG
30108,中海 CHUNG HẢI
30108,中海 CHUNG HẢI
30109.1,說發達 THUYẾT PHÁT ĐẠT
30110,新地 ĐẤT MỚI
30110,新地 ĐẤT MỚI
30111,寶興 BẢO HƯNG
30111,寶興 BẢO HƯNG
30116,家榮 GIA VINH
30117,富天香 PHÚ THIÊN HƯƠNG
30117.1,MAO FURNITURE
30119,光成 KHUẾCH DOANH
30119,光成 KHUẾCH DOANH
30127,國掌 QuỐC TRƯỞNG
30127,國掌 QuỐC TRƯỞNG
30130,GFS
30134,家家發 GIA GIA PHÁT
30134.2,家家發 GIA GIA PHÁT(chi nhánh 2)
30145,恆達 HẰNG ĐẠT
30147,越鑫 WAN LI HANG
30147,越鑫 WAN LI HANG
30147.2,越鑫 WAN LI HANG
30148,欣元記 HÂN NGUYÊN KÝ
30148.1,欣元記新廠 HÂN NGUYÊN KÝ-XM
30149,楊成 YANG CHENG
30149,楊成 YANG CHENG
30149.1,楊成 YANG CHENG
30150,景楊 YOU JIE
30150,景楊 YOU JIE
30150.1,景楊 JYN YANG
30151,銀河 NGÂN HÀ
30154,盈德 DOANH ĐỨC
30156.1,新越金發 (STOP)TÂN VIỆT KIM PHÁT
30156.2,新越發 TÂN VIỆT PHÁT
30170,隆好 LONG HAO
30172,富鼎 PHÚ ĐỈNH(STOP)
30172.1,WOODWORTH WOODEN
30173,鋒明 ACTIVE (STOP)
30173.1,鋒明 PRO ACTIVE
30175,COWIN
30175,COWIN
30178.1,發福家 PHÁT PHÚC GIA
30178.2,裕昌 YUU CHANG
30183,精隆 CHÍNH LONG
30187,ASIA
30187,ASIA
30188,GSK
30190,德本 ĐỨC BỔN
30190,德本 ĐỨC BỔN
30191,展豐 TRIỂN PHONG
30193,昕展 HÂN TRIỂN
30195,永欽 YUN CHING
30200,金鋒 KIM PHONG
30201,源武 NGUYÊN VŨ
30202.1,鑫鼎(恆鼎五金) HƯNG ĐỈNH
30208,廣昌 QuẢNG XƯƠNG
30214,達豐 SUN STEEL
30214,達豐 SUN STEEL
30215,政昌 CHENG CHAN
30216,長利 TRƯỜNG LỢI
30222,新合豐 TÂN HiỆP PHONG
30227,維成 DUY THÀNH
30227,維成 DUY THÀNH
30228.1,信成大 TÍN THÀNH ĐẠI
30239,青倫 THANH LUÂN
30240,平電 CƠ ĐIỆN NINA
30240,平電 CƠ ĐIỆN NINA
30250,阿平 KÍNH ROM ( ANH BÌNH)
30251,銘美  PRINCE MATE
30251,銘美  PRINCE MATE
30253,(STOP)越南光陽 KYMCO VN
30253.1,越南光陽 KWANG YANG
30270,時代 THỜI ĐẠI
30285.1,林清 LÂM THANH
30285.2,協新 HiỆP TÂN
30301,凱勝 KAISER 1
30301,凱勝 KAISER 1
30301.1,凱勝 KAISER 2
30316,國瀚(木) GHP
30336,HABUFA
30364,順安木 (GỖ THUẬN AN BÌNH PHƯỚC)
30364,順安木 (GỖ THUẬN AN BÌNH PHƯỚC)
30388.1,STOP 勇成營 DŨNG THÀNH DOANH
30448,黎皇明 LÊ HOÀNG MINH
30449,信亞 HSIN YA
30449,信亞 HSIN YA
30478,東和 ĐÔNG HÒA
30478.1,東和 ĐÔNG HÒA
30481,EAGLE
30485,成發 THÀNH PHÁT
30492,光星 NOVA
30516,鋼木門 SECUREMAN
30520,明輝 MINH HUY
30523,盛越II THỊNH ViỆT II
30523,盛越II THỊNH ViỆT II
30527,友盛 HỮU THỊNH
30527,友盛 HỮU THỊNH
30527.1,泰盛 THÁI THỊNH
30534,江明 GIANG MINH
30535,芳明（STOP)PHƯƠNG MINH
30535.1,芳明志 (STOP)PHƯƠNG MINH TRÍ
30535.2,海明 HẢI MINH
30554,長鴻明鏡 CHANG HUNG
30564,發達興 PHÁT ĐẠT HƯNG
30564,發達興 PHÁT ĐẠT HƯNG
30567,歐旻 OMEXEY
30567,歐旻 OMEXEY
30567.1,越南歐旻餐桌廠 NỘI THẤT TỐT NHẤT
30567.2,歐旻橡膠工業 CAO SU CN OMEXEY
30567.3,歐旻 OMEXEY-SƠN SẮT(鐵漆）
30568,越旺 YUEH WANG
30568,越旺 YUEH WANG
30583.2,臆鼎 YÊN ĐỈNH
30585,長源 CHEAN YUAN
30588,晟佳 CHENG CHIA WOOD
30617,福營 FULLIN
30620,宏城 HỒNG THÀNH
30622,泓一 HONG YI
30622,泓一 HONG YI
30622.1,(STOP) 泓盛 HỒNG THỊNH
30622.2,泓盛 HỒNG THỊNH
30622.3,泓美(鐵器)HONG MEI
30622.5,新泓泰 TÂN HONG TAI
30631,木發 MỘC PHÁT
30653,茂旭 MOASH (STOP)
30653.1,永誠 VĨNH THÀNH
30654,松原 SHUNG YANG
30657,尚美 THƯỢNG MỸ
30665,嘉阮  GIA NGUYỄN
30673,大森 TIM BER
30673,大森 TIM BER
30674,超音速 SONICS
30678,合勝 HỢP THẮNG(STOP)
30687,進展VN  TIẾN TRIỂN VN
30687,進展VN  TIẾN TRIỂN VN
30696,昶嘉 CHAANG CHIIA
30696,昶嘉 CHAANG CHIIA
30698.2,BISON
30706,永勝 VĨNH THẮNG
30706,永勝 VĨNH THẮNG
30713,大勇 ĐẠI DŨNG
30715,阮青玉 NGUYỄN THANH NGỌC
30717,辰森 XU HƯỚNG
30724,采岩 TSAI YARN
30724,采岩 TSAI YARN
30727,慶發 KHÁNH PHÁT
30728,贏傢 DINH GIA
30728,贏傢 DINH GIA
30734,廣興 QUẢNG HƯNG
30734,廣興 QUẢNG HƯNG
30735,梅成 MAI THÀNH
30736,振傑 CHẤN KIỆT
30736,振傑 CHẤN KIỆT
30737,美森 MỘC NGHỆ THUẬT
30741,亞山  GREAT HILL
30741,亞山  GREAT HILL
30744,樂台 HÙNG CẢNG
30744,樂台 HÙNG CẢNG
30749,武明 VŨ MINH
30756,香順發 HƯƠNG THUẬN PHÁT
30756,香順發 HƯƠNG THUẬN PHÁT
30768,R&T
30777,安盛 AN THỊNH
30779,駿越 IMAGE & DESIGN
30781,新成源 TÂN THÀNH NGUYÊN
30781,新成源 TÂN THÀNH NGUYÊN
30789.1,聯合 UNITED INDUSTRIAL
30793,弘裕 HOẰNG DŨ
30794,高點 HIGH POINT
30794.1,亜護 Á HỌ
30804,仁德 NHÂN ĐỨC
30804,仁德 NHÂN ĐỨC
30807.1,宜理 INNI HOME
30818,永勝電鍍 VĨNH THẮNG XI MẠ
30818,永勝電鍍 VĨNH THẮNG XI MẠ
30818.1,金成南 KIM THÀNH NAM
30827,榮森 VINH THÂM
30827.1,合盈興 HE YINGXING
30828,景鋐 JIN HONE
30831,KATAGIRI INDUSTRY
30832,和欣五金 HO SHIN
30833,GENIE FANTASY
30839,凱登 KHẢI ĐĂNG
30840,南方 PHƯƠNG NAM
30840,南方 PHƯƠNG NAM
30845,海龍 HẢI LONG
30846,德善 (STOP)ĐỨC THIỆN
30846.1,宣德善 HUYÊN ĐỨC THIỆN
30848,經順 KINH THUẬN
30848,經順 KINH THUẬN
30859,同富 ĐỒNG PHÚ
30860.1,黎家發 LÊ GIA PHÁT
30861,SAKAI
30867,泓越 HÙNG VIỆT
30867,泓越 HÙNG VIỆT
30869,乾淨木 GỖ SẠCH
30869,乾淨木 GỖ SẠCH
30871,輝嘉 HUY GIA
30871,輝嘉 HUY GIA
30871.1,HUY HOÀNG
30872.1,安福 AN PHÚC
30872.2,J.C.L
30875,成豐 THÀNH PHONG
30876,(STOP)皇瑞 HUANG RUI
30876.1,皇瑞 CHI NHÁNH HUANGRUI
30876.2,皇瑞 HUANGRUI
30876.3,(STOP)恒亮 HENG LIANG
30876.4,五金明輝 NGŨ KIM MINH HUY
30878,祥霖 TƯỜNG LINH
30880,EUROWINDOW (STOP)
30880.1,EUROWINDOW
30881,振興 CHẤN HƯNG
30883,成勝陞龍 THÀNH THẮNG THĂNG LONG
30884,正吉 CHÁNH KIẾT
30885.1,金燦 KIM SÁNG
30887.1,藍河 DÒNG SÔNG XANH
30895,誠業 THÀNH NGHIỆP
30895.1,森誠 SÂM THÀNH
30895.2,康德盛 KHANG ĐỨC THỊNH
30895.3,康德盛TOP-KH ĐỨC THỊNH-THANH NGHI
30895.4,國翔 QUỐC TƯỜNG
30895.5,平福誠業 MTV THÀNH NGHIỆP-BP
30895.6,凯越 UNITED（KHẢI VIỆT)
30899.3,BKG
30904,井得 KINGTEC
30904,井得 KINGTEC
30906,又天 HỮU THIÊN
30907,S FURNITURE
30908,萬政 VẠN CHÍNH
30910,龍潤 LONG NHUẬN
30911,金太陽 TÂN KING SUN
30912,富金 (STOP) PHÚ KIM
30912.1,雄青玉 HÙNG THANH NGỌC
30913,凱元 KHẢI NGUYÊN
30915,山英 SHAN YING
30916,鑫源豐 HINH NGUYÊN PHONG
30917.1,俊恢 TUẤN KHÔI
30918,至嘉 ART CREATION
30918,至嘉 ART CREATION
30919,STOP 大鋒偉 ĐẠI PHONG VĨ
30919.1,黃進發(STOP)HOÀNG TIẾN PHÁT
30919.2,潘明輝 PHAN MINH HUY
30924.1,源林盛 NGUYÊN LÂM THỊNH
30927,富輝發(STOP)PHÚ HUY PHÁT
30927.1,杰美(STOP) KIỆT MỸ
30927.2,富池 FUCHI(STOP)
30927.3,富豐 PHÚ PHONG
30929,晉弘（STOP)TẤN HOÀNG
30929.1,東弘 ĐÔNG HOẰNG
30930,銘优 DANH ƯU
30931,北弘 (STOP) BẮC HOẰNG
30931.1,北宏 BẮC HOẰNG
30934,吉田 YOSHITA
30934,吉田 YOSHITA
30936,越聯 VIỆT LIÊN
30937,(STOP)建亞 KIẾN Á
30937.1,西湖 TÂY HỒ (STOP)
30937.2,建亞 KIẾN Á (BẢY MẪU)
30937.3,KETTLE INTERIORS
30943,金原通 KING YUAN TONG
30944,MAPLE
30945,大裕 TAYU
30946,青工廠 CƠ SỞ THANH
30946,青工廠 CƠ SỞ THANH
30947,東發 ĐÔNG PHÁT
30947,東發 ĐÔNG PHÁT
30949,江山 GIANG SƠN
30952,興源 KHÁNH NGUYÊN
30952,興源 KHÁNH NGUYÊN
30956,台金 ĐÀI KIM
30956,台金 ĐÀI KIM
30957,清明 THANH MINH
30961,明進 MINH TIẾN
30965,華盛 HOA THỊNH
30965,華盛 HOA THỊNH
30966,景達 CẢNH ĐẠT
30967,南海 NAM HẢI
30968,三盛 TAM THỊNH
30969,越洲VIỆT CHÂU
30970,宇謙 EXACT WOOD
30970,宇謙 EXACT WOOD
30972,祿發木業 GỖ LỘC PHÁT
30973,西貢發展 PHÁT TRIỂN SÀI GÒN
30976,周家發 CHÂU GIA PHÁT
30977,NAM TRIỀU
30979,華鑫 HUA XIN
30982.1,金成鑫 KIM THÀNH HƯNG
30985,DAFI TROPICDANE FURNITURE
30986,力邦 LỰC BANG
30987,中海 TRUNG HAI
30988,南部 MIỀN NAM
30989,德善 ĐỨC THIỆN
30990.1,龍南發 LONG NAM PHÁT
30991,JAPAN
30992,大顺 ĐẠI THUẬN
30992,大顺 ĐẠI THUẬN
30994,紅葉 HỒNG NGHIỆP
30994,紅葉 HỒNG NGHIỆP
30995,偉光 WAGON
30996,五林越 NGŨ LÂM VIỆT
30998,松奥五金 NGŨ KIM SONG AO
30998,松奥五金 NGŨ KIM SONG AO
30999,家信 GIA TÍN
31000,超藝 SIÊU NGHỆ
31001.1,景富發 VIEW FULL
31001.2,三發 SAN FA
31002,宏信 HỒNG TÍN
31004,翔利 TƯỜNG LỢI
31006,皇發木業 GỖ HOÀNG PHÁT
31007,清皇林 THANH HOÀNG LÂM
31008,清清逺 THANH THANH VIỄN
31009,富康發 PHÚ KHANG PHÁT
31010,興盛家 NHÀ HƯNG THỊNH
31012,机械 SG
31016,范玉萩 PHẠM NGỌC THO
31018,SAVA
31020,QUANG MINH 光明
31021,ĐÔNG ĐẠT 東達
31023,DANH MỘC 名木
31023.1,AA LONG AN AA 隆安
31024,MINH DƯƠNG 明楊
31025,LAI ÂN 玉璧公司
31026,MINH QUÂN 明君
31027,VINH SƠN 荣山
31028,LIÊN PHONG 聯豐
31029,永興 YONG XING
31030,TÂM THANH HOA 心青花
31031,強發木業 GỖ CƯỜNG PHÁT
31033,GỖ VŨ NGUYỄN 武阮木業
31034,HIỆP HÒA PHÁT  協和發
31035,啟逹 DICKCLON DESIGN
31036,進財祿 TẤN TÀI LỘC
31037,INTERHOUSE LA
31038,祿天财 LỘC THIÊN TÀI
31039,寳越  BẢO VIỆT
31040,金祥辉 KIM TƯỜNG HUY
31041,明志 MINH TRÍ
31042,清水 THANH THỦY
31044,XA PHIA
31045,青山 QING SHAN
31046,GH
31047,DEWBERRY
31048,宏逹 HỒNG ĐẠT
31049,海宇 HẢI VŨ
31050,木發 MỘC PHÁT
31051,新福 TÂN PHƯỚC
31052,新源興 XIN GUAN XING
31053,荣和 RONG HE
31054,克越 KHẮC VIỆT
31055,中徳 ZHONG DE
31056,德智 DER JINH
31057,泓源 HOẰNG NGUYÊN
31057.1,朝陽 TRIỀU DƯƠNG
31058,MAKER SIXTY FOUR
31059,天恒 THIÊN HÀNG
31060,卓立五金 NGŨ KIM TRÁC LẬP
31060,卓立五金 NGŨ KIM TRÁC LẬP
31061,輝協發(STOP)HUY HIỆP PHÁT
31061.1,興盛發 HƯNG THỊNH PHÁT
31062,建坤五金 (STOP)NGŨ KIM JIAN KUN
31062.1,建泰五金 NGŨ KIM JIAN TAI
31063,宏凯 GỖ HỒNG KHẢI
31064,周海豐 CHÂU HẢI PHONG
31065,政明 CHÍNH MINH
31066,義發 NGHĨA PHÁT
31066,義發 NGHĨA PHÁT
31067,林宏 LÂM HỒNG
31067.1,杰發 KIỆT PHÁT
31068,寳鑫 BẢO THỊNH
31069,丁嘉發 ĐINH GIA PHÁT
31070,聯泰玻璃 KIẾNG LIÊN THÁI
31071,DING XIN
31072,越兴精密 SHINCO
31072,越兴精密 SHINCO
31073,東陽木業 GỖ ĐÔNG DƯƠNG
31074,ASAI
31074,ASAI
31075,康南 KHANG NAM
31076,THEODORE ALEXANDER
31077,展達 TRIỂN ĐẠT
31078,進興 TIẾN HƯNG
31078,進興 TIẾN HƯNG
31079,永大 YONG TA
31079,永大 YONG TA
31080,源力 NGUỒN LỰC
31081,光明五金 NGŨ KIM QUANG MINH
31082,豐享 FENG HENG
31083,寳南發(STOP) BẢO NAM PHÁT
31083.1,寳南發 BẢO NAM PHÁT
31084,SACRED EARTH
31085,WESBROOK
31085,WESBROOK
31086,五金日發 NGŨ KIM NHẬT PHÁT
31087,越美 VEI MAY
31087,越美 VEI MAY
31087.1,LHV
31088,榮發嘉 VINH PHÁT GIA
31088.1,華美金 HOA MỸ KIM
31088.2,華美金 HOA MỸ KIM HMK
31089,威顺 UY THUẬN
31090,金武 KIM VŨ
31091,永灿 VĨNH XÁN
31091,永灿 VĨNH XÁN
31092,源昌 YUAN CHANG
31093,聚鑫 JUXIN
31094,丰鑫 FENG XIN
31094.1,新盛 TÂN THỊNH
31095,西湖 TÂY HỒ
31095,西湖 TÂY HỒ
31096,STOP CÔNG TY TNHH YOUNG CHAIN
31096.1,CÔNG TY TNHH BESTWIN百胜
31097,興東發 OMEXEY (HƯNG ĐÔNG PHÁT )
31098,木越 GỖ VIỆT
31099,武志芳 VŨ TRI PHƯƠNG
31100,UNITED JUMBO
31100.1,(STOP) 大天祿 ĐẠI THIÊN LỘC
31100.2,大天祿 ĐẠI THIÊN LỘC
31101,周家發 CHÂU GIA PHÁT
31102,海天 HAITECHNICAL
31103,(STOP)晉仁 TRIỀU THIỆN
31103.1,晉仁 THIỆN TÂM
31104,明皇 MINH HOÀNG
31104.1,成忠 THÀNH TRUNG
31105,福來 PHƯỚC LAI
31106,SV INTERNATIONAL
31107,五金强發 NGŨ KIM CƯỜNG PHÁT
31108,展福成 TRIỂN PHƯỚC THÀNH
31109,GỖ SEVEN FURNITURE
31110,金恒 KIM HẰNG
31111,VISTARR SPORTS
31112,盈發 NGÂN PHÁT
31113,SKS FURNITURE
31113,SKS FURNITURE
31114,金忠 CƠ SỞ KIM CHUNG
31115,天然越 THIÊN NHIÊN VIỆT
31116,TTP VINA WOOD
31117,濬煌 JUN HOÀNG
31118,永義 TÂN VĨNH NGHĨA
31119,宇聯 VŨ LIÊN
31120,億龍 TỶ LONG
31121,LIFA
31122,三大富 TAM ĐẠI PHÚ
31123,B.U.I FURNITURE
31124,興大發 HƯNG ĐẠI PHÁT
31125,TDF龍安 TDF LONG AN
31125,TDF龍安 TDF LONG AN
31126,木森 MỘC SÂM
31127,WILSONS HILL
31128,大亮 DALIANG
31129,VINAHARDWARE
31130,大西洋 ĐẠI TÂY DƯƠNG
31131,啟全利 (STOP)KHẢI TOÀN LỢI
31131.1,友和五金 KIM LOẠI HỮU HÒA
31132,金天富 KIM THIÊN PHÚ
31133,"VFR CO.,LTD"
31133,"VFR CO.,LTD"
31134,越隆發 VIỆT LONG PHÁT
31135,發揚 PHÁT DƯƠNG
31136,吉田 CÁT ĐIỀN
31137,卿興盛 KHANH HƯNG THỊNH
31138,明玉 MINH NGỌC FURNITURE
31138,明玉 MINH NGỌC FURNITURE
31139,(STOP)五金晉發 NGŨ KIM TẤN PHÁT
31139.1,NGŨ KIM TÂN TẤN PHÁT
31139.2,祿發機器 LỘC PHÁT
31140,趙富祿 TRIỆU PHÚ LỘC
31141,KAPAWOO
31142,皇來 HOÀNG LAI
31143,茂崧 MARVELOUS
31144,STOP 君陽 JUN YANG
31144.1,水星 MERCURIUS
31145,潼海 TONG HAI
31146,嘉源 GIA NGUYÊN
31147,越嘉 VIỆT GIA
31148,海洋 HẢI DƯƠNG
31149,赛美達 SMART
31149.1,赛美達 SMART-X 2
31149.2,賽美達 SMART-X 3
31150,騰逹化工 TENG DA
31151,IKIZIP VN (SÀI GÒN TÚI XÁCH)
31152,明俊雕刻公司ĐIÊU KHẮC MINH TIẾN
31153,誠富發 THÀNH PHÚ PHÁT
31154,DELTA
31154,DELTA
31155,LIÊN VIỆT 連越
31155,LIÊN VIỆT 連越
31156,浩森 HẠO SÂM
31157,黄梅輝 HUỲNH MAI HUY
31158,海歐 HẢI ÂU
31159,呈豐 (STOP)VN THÀNH PHONG VN
31159.1,寳来 BẢO LAI
31160,越顺發 (STOP)VIỆT THUẬN PHÁT
31160.1,SNOW VIILLAGE VIỆT NAM
31161,振發 CHENG FA
31162,得天馬 ĐẮC THIÊN MÃ
31163,東南 ĐÔNG NAM
31164,寶麗 BAO LI
31165,中越盛 ZHONG YUE SHENG
31165.1,隆盛（STOP)LONG SHENG
31165.2,合盛 HOCENT
31166,福勝 PHÚC THẮNG
31167,德光 ĐỨC QUANG
31169,GSD
31170,楊南發 DƯƠNG NAM PHÁT
31171,雄豪 HÙNG HÀO
31172,泰德照明 CHIẾU SÁNG TIDA
31173,GỖ BUDEN
31174,明詩 MINH THI
31175,VIÊN NA
31176,西貢機器CƠ KHÍ SÀI GÒN
31177,天鸧THIÊN THƯƠNG
31178,C.R.M.G
31179,業順成 DOANH THUẬN THÀNH
31179,業順成 DOANH THUẬN THÀNH
31180,駿興 FRAMA GROUP ( VIET NAM )
31181,STOP 順溢 SHUN YI
31181.1,順安 UV THUẬN AN
31182,東西 ĐÔNG TÂY
31183,麒源 KỲ NGUYÊN
31184,SCANDINAVIA
31185,荣興 HẠNH HƯNG
31186,展兆 TRIỂN TRIỆU
31187,NEW LIFE FURNITURE
31188,鈞耀 QUÂN DIỆU
31188,鈞耀 QUÂN DIỆU
31189,皇榮  HOÀNG VINH
31190,YOURWAY TECH VN
31191,KINGMORE RACKING
31193,盛發木業 GỖ THỊNH PHÁT
31194,志銘 CHI NINH
31195,VFM
31196,五金豪英 NGŨ KIM HÀO ANH
31197,鑫泓 HỒNG KIM
31197,鑫泓 HỒNG KIM
31198,蓮木業 NỘI THẤT SEN
31199,陸發 LU-FA
31200,TRENDEX
31200,TRENDEX
31201,NATURE PUMP 南鈺
31201,NATURE PUMP 南鈺
31202,高登 GORDON
31203,三合 TAM HỢP
31204,青青國際公司 QUỐC TẾ THANH THANH
31205,有德五金 NGŨ KIM YOUDE
31206,HANSEI PLATING
31206,HANSEI PLATING
31207,侯耐 HỐ NAI
31208,新洋 TÂN DƯƠNG
31209,OECHSLER
31210,何清 HÀ THANH
31211,富康盛 PHÚ KHANG THỊNH
31212,阮清廉 NGUYỄN THANH LIÊM
31213,ZHIAO
31214,皇鼎 HUANG DING
31216,STICKLEY
31217,雙福 SONG PHƯỚC
31218,合胜 MTV HỢP THẮNG
31219,ĐIỆN CÔNG NGHIỆP TTP 電工業
31220,元辰 YUAN CHEN
31221,NAGASE VIET NAM
31221,NAGASE VIET NAM
31222,羅鴻原 LA HỒNG NGUYÊN
31223,晨宏 CHEN HONG
31224,TRANSFORMER ROBOTICS PTE
31225,(STOP) 騰鸿 ĐẰNG HỒNG
31225.1,振鸿 CHẤN HỒNG
31226,如禄發 NHƯ LỘC PHÁT
31227,權昱 QUAN YU
31228,龍興 LONG XING
31229,APOLO
31230,ANAQ
31231,PMA
31231,PMA
31232,JUWON
31233,山木 SƠN MỘC
31234,盛富發 THỊNH PHÚ PHÁT
31235,FOUR HANDSFOUR
31236,MỘC TÍN  木信
31238,HM DECOR
31239,易达 DỊ ĐẠT
31240,五金東泰 NGŨ KIM ĐÔNG THÁI
31241,成義 THÀNH NGHĨA
31242,陳明厚 TRẦN MINH HẬU
31242,陳明厚 TRẦN MINH HẬU
31243,COTSWOLD
31244,DA FANG WOOD
31245,强豐 CƯỜNG PHONG
31247,HCH 嘉阮木業
31250,D-HARDWARE
31251,淵興榮和 UYEN HUNG RONG HE
31252,WONDER WORK
31255,雙馬 PU SONG MÃ
31258,桑盛發SÁNG THỊNH PHÁT
31259,NGŨ KIM HỒNG THỊNH 宏盛五金
31260,NGUYỄN VĂN TUẤN 阮文俊
31261,GỖ VIỆT PHÁT  越發木業
31262,弘骐 REHAB ITALIAN DESIGN
31263,工業綠家 CÔNG NGHIỆP NHÀ XANH
31263,工業綠家 CÔNG NGHIỆP NHÀ XANH
31264,裕順興 DỤ THUẬN HƯNG
31265,KAMINT
31266,豐泰安 PHONG THÁI AN
31266.1,T&T (STOP)
31267,陳嘉强 TRẦN GIA CƯỜNG
31269.1,永逹 VĨNH ĐẠT
31270,德福 GERMAN WELFARE
31271,宏元 HỒNG NGUYÊN
31272,CZY
31273,PHÚC THỊNH
31274,NHẬT ĐỨC PHáT
31275,HONG YI 宏鎰家具
31276,THÀNH ĐẠT 成逹
31277,LEWIS
31278,SƠN NGUYÊN PHÁT 山源發
31279,HỒNG VẠN 弘萬
31280,GREAT WORLD 大世界
31281,ZINCBERT周全
31282,MING DIAN 銘典
31283,POU CHEN 寶成
31283.1,POU LI
31283.2,POU SUNG
31284,VẠN SƯƠNG 萬昌
31285,SHIRONG
31287,MAESTRO 邁碩
31288,TÂN NGUYÊN PHÁT
31289,TUẤN HÙNG TIẾN
31289,TUẤN HÙNG TIẾN
31290,TRAN LAM
31291,PHÚ LONG PHÁT
31292,BIÊN HOA SCM
31294,JIA HSIN 佳新
31295,NGŨ KIM KIM TRƯỜNG THỊNH
31296,HƯNG NGUYÊN PHÁT
31297,DIAMOND
31298,YUE YANG
31300,橋水 BRIDGEWATER
31300,橋水 BRIDGEWATER
31301,立成 LẬP THÀNH
31302,向陽花 HOA HƯỚNG DƯƠNG
31303,DŨNG KHANH
31303,DŨNG KHANH
31304,DAPHOCO
31305,MỘC THIÊN PHÚ
31307,ECC
31309,AMBILUUX
31312,BO MEI
31313,VHG
31314,順强 VIỆT THUẬN CƯỜNG
31315,TR FURNITURE
31316,ALLIANCE
31317,MICA
31318,何美 HÀ MY
31318,何美 HÀ MY
31319,恆亮 TAN HENG LIANG
31319,恆亮TAN HENG LIANG
31320,AN THINH PHAT
31320,AN THINH PHAT
31321,LONG NGỌC PHÁT
31322,HỒ KHÁNH
31323,YONG LI 永利
31324,HONG YUE 宏越摸貝
31325,NGUYEN LIEU GO
31327,Đ.H.C
31329,LEATHER HOUSE VIETNAM
3999,
39999,零售客戶
PM,PM
QA,QA
RD,RD
SKS,
TV,TV
